,date,total,price,condition,MPN,movement,case material,band material,model,listingType,start,url
1,2/7/2019,6401,6380,pre-owned,Does Not Apply,Mechanical (Automatic),"18K Solid Yellow Gold, 3.00CT Diamond Bezel & Lugs & Dial","18K Solid Yellow Gold, 3.00CT Diamonds",68278,Auction,1/31/2019,http://www.ebay.com/itm/rolex-unisex-31mm-datejust-pave-diam-ruby-dial-lugs-band-6-00ct-total-/283360661684
4,2/7/2019,4008,3995,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel & 18k Yellow Gold Diamond Bezel,18k yellow gold / Stainless Steel,69173,StoreInventory,1/28/2019,http://www.ebay.com/itm/rolex-ladys-diamond-datejust-69173-fully-loaded-/173766404888
10,2/7/2019,5200,5200,pre-owned,6916,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,3/21/2018,http://www.ebay.com/itm/ladies-rolex-air-king-34mm-stainless-steel-pink-mother-pearl-diamond-watch-/142729899198
14,2/7/2019,7000,7000,pre-owned,M50505-0020,Mechanical (Automatic),White Gold,alligator,Rolex Cellini,Auction,2/7/2019,http://www.ebay.com/itm/rolex-cellini-dual-time-white-gold-black-leather-strap-box-papers-/183674741134
16,2/7/2019,8000,8000,pre-owned,114060,Mechanical: Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,10/22/2018,http://www.ebay.com/itm/rolex-ceramic-submariner-no-date-stainless-steel-watch-114060-box-and-papers-/232976203602
19,2/7/2019,3500,3500,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,14K Gold and Stainless Steel,Rolex Lady-Datejust,FixedPrice,1/22/2019,http://www.ebay.com/itm/rolex-men-watch-datejust-date-oyster-gold-steel-diamond-dial-bezel-watch-/283349231072
22,2/7/2019,3900,3900,pre-owned,114270,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,FixedPrice,2/7/2019,http://www.ebay.com/itm/rolex-explorer-114270-z-serial-2007-36mm-/264184443929
24,2/7/2019,4950,4950,pre-owned,Does not apply,Mechanical (Automatic),"Silver, Stainless Steel, Yellow gold","Silver, Stainless Steel, Yellow Gold",Rolex Datejust,FixedPrice,2/5/2019,http://www.ebay.com/itm/champagne-diamond-dial-bezel-rolex-dj-watch-presidential-style-fgw210138-/352586470489
27,2/7/2019,4750,4750,pre-owned,1500,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Date,StoreInventory,11/13/2018,http://www.ebay.com/itm/rolex-explorer-1-114270-black-dial-f-serial-2004-authentic-mens-watch-/292815765000
38,2/7/2019,7950,7950,pre-owned,16613,Mechanical (Automatic),Stainless Steel,"Two-Tone: Stainless Steel & 18k Yellow Gold, Solid Gold, Stainless Steel",Rolex Submariner,FixedPrice,2/6/2019,http://www.ebay.com/itm/mens-rolex-submariner-date-18k-yellow-gold-steel-watch-blue-dial-bezel-16613-/153367148844
45,2/6/2019,6100,6100,pre-owned,14060M,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,2/3/2019,http://www.ebay.com/itm/rolex-submariner-14060m-black-dial-stainless-steel-mens-watch-2-liner-k-serial-/264178940584
49,2/6/2019,5212,5200,pre-owned,6517,Mechanical (Automatic),Stainless Steel,Solid Gold,President,StoreInventory,2/6/2019,http://www.ebay.com/itm/rolex-president-datejust-26mm-18k-yellow-gold-ladies-watch-79178-/273690194050
53,2/6/2019,6275,6275,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,2/6/2019,http://www.ebay.com/itm/rolex-explorer-ii-auto-40mm-steel-mens-oyster-bracelet-watch-date-gmt-16570-/292950188414
54,2/6/2019,6215,6100,pre-owned,69173,Mechanical (Automatic),Stainless Steel & 18K Gold,Stainless Steel & 18K Gold,Datejust,StoreInventory,12/1/2018,http://www.ebay.com/itm/rolex-air-king-116900-s-s-40mm-black-green-auto-watch-stunning-b-p-/283285714610
56,2/6/2019,3945,3900,pre-owned,69623,Mechanical (Automatic),"18k Yellow Gold Bezel, Stainless Steel",18k Yellow Gold & Stainless Steel,Yacht-Master,StoreInventory,1/15/2019,http://www.ebay.com/itm/rolex-yachtmaster-ref-69623-18k-yellow-gold-stainless-steel-ladies-watch-29-mm-/153341147702
58,2/6/2019,9521,9500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,1/30/2019,http://www.ebay.com/itm/rolex-mens-submariner-hulk-green-dial-stainless-steel-ceramic-bezel-very-nice-/283359169943
62,2/6/2019,5800,5800,pre-owned,6694,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oysterdate,StoreInventory,11/8/2018,http://www.ebay.com/itm/rare-1986-vintage-rolex-6694-oyster-date-state-qatar-saudi-dial-watch-/163362180494
66,2/6/2019,4962,4950,pre-owned,Does Not Apply,Mechanical (Automatic),Gold,Leather,Rolex - Bubble Back,StoreInventory,2/5/2019,http://www.ebay.com/itm/very-rare-vintage-rolex-14k-yellow-gold-hooded-bubble-back-model-3065-/132942928803
68,2/6/2019,6800,6800,pre-owned,116334,Mechanical (Automatic),"18k White Gold Bezel, Stainless Steel",Stainless Steel,Datejust II,FixedPrice,1/4/2019,http://www.ebay.com/itm/rolex-116334-datejust-ii-black-roman-dial-ss-excellent-condition-w-box-/163466638390
74,2/6/2019,4350,4350,pre-owned,4233,Mechanical (Hand-winding),Solid Gold,Crocodile Skin,Rolex Cellini,StoreInventory,1/18/2019,http://www.ebay.com/itm/rolex-cellini-danaos-18k-white-gold-black-dial-unisex-watch-4233-/273662928798
76,2/7/2019,5200,5200,pre-owned,6916,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,3/21/2018,http://www.ebay.com/itm/ladies-rolex-air-king-34mm-stainless-steel-pink-mother-pearl-diamond-watch-/142729899198
80,2/7/2019,7000,7000,pre-owned,M50505-0020,Mechanical (Automatic),White Gold,alligator,Rolex Cellini,Auction,2/7/2019,http://www.ebay.com/itm/rolex-cellini-dual-time-white-gold-black-leather-strap-box-papers-/183674741134
82,2/7/2019,8000,8000,pre-owned,114060,Mechanical: Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,10/22/2018,http://www.ebay.com/itm/rolex-ceramic-submariner-no-date-stainless-steel-watch-114060-box-and-papers-/232976203602
86,2/7/2019,5000,5000,pre-owned,79170,Mechanical (Automatic),Stainless Steel,Stainless Steel,Big Block Oysterdate,StoreInventory,1/24/2019,http://www.ebay.com/itm/tudor-big-block-crono-time-auto-wind-oysterdate-m-79170-case-rolex-/132928766695
88,2/7/2019,3900,3900,pre-owned,114270,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,FixedPrice,2/7/2019,http://www.ebay.com/itm/rolex-explorer-114270-z-serial-2007-36mm-/264184443929
90,2/7/2019,4950,4950,pre-owned,Does not apply,Mechanical (Automatic),"Silver, Stainless Steel, Yellow gold","Silver, Stainless Steel, Yellow Gold",Rolex Datejust,FixedPrice,2/5/2019,http://www.ebay.com/itm/champagne-diamond-dial-bezel-rolex-dj-watch-presidential-style-fgw210138-/352586470489
93,2/7/2019,4750,4750,pre-owned,1500,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Date,StoreInventory,11/13/2018,http://www.ebay.com/itm/rolex-explorer-1-114270-black-dial-f-serial-2004-authentic-mens-watch-/292815765000
104,2/7/2019,7950,7950,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice,2/6/2019,http://www.ebay.com/itm/mens-rolex-submariner-date-18k-yellow-gold-steel-watch-blue-dial-bezel-16613-/153367148844
111,2/6/2019,6100,6100,pre-owned,14060M,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,2/3/2019,http://www.ebay.com/itm/rolex-submariner-14060m-black-dial-stainless-steel-mens-watch-2-liner-k-serial-/264178940584
113,2/6/2019,5000,5000,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,FixedPrice,2/4/2019,http://www.ebay.com/itm/rolex-president-black-diamond-dial-bezel-women-watch-yellow-gold-fgw210284-/352586093739
115,2/6/2019,5212,5200,pre-owned,6917,Automatic,Solid Gold,Yellow Gold,Rolex Lady-Datejust,StoreInventory,2/6/2019,http://www.ebay.com/itm/rolex-president-datejust-26mm-18k-yellow-gold-ladies-watch-79178-/273690194050
119,2/6/2019,6275,6275,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,2/6/2019,http://www.ebay.com/itm/rolex-explorer-ii-auto-40mm-steel-mens-oyster-bracelet-watch-date-gmt-16570-/292950188414
120,2/6/2019,6215,6100,pre-owned,69173,Mechanical (Automatic),Stainless Steel & 18K Gold,Stainless Steel & 18K Gold,Datejust,StoreInventory,12/1/2018,http://www.ebay.com/itm/rolex-air-king-116900-s-s-40mm-black-green-auto-watch-stunning-b-p-/283285714610
122,2/6/2019,3945,3900,pre-owned,69623,Mechanical (Automatic),"18k Yellow Gold Bezel, Stainless Steel",18k Yellow Gold & Stainless Steel,Yacht-Master,StoreInventory,1/15/2019,http://www.ebay.com/itm/rolex-yachtmaster-ref-69623-18k-yellow-gold-stainless-steel-ladies-watch-29-mm-/153341147702
124,2/6/2019,9521,9500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,1/30/2019,http://www.ebay.com/itm/rolex-mens-submariner-hulk-green-dial-stainless-steel-ceramic-bezel-very-nice-/283359169943
132,2/6/2019,4962,4950,pre-owned,Does Not Apply,Mechanical (Automatic),Gold,Leather,Rolex - Bubble Back,StoreInventory,2/5/2019,http://www.ebay.com/itm/very-rare-vintage-rolex-14k-yellow-gold-hooded-bubble-back-model-3065-/132942928803
134,2/6/2019,6800,6800,pre-owned,116334,Mechanical (Automatic),"18k White Gold Bezel, Stainless Steel",Stainless Steel,Datejust II,FixedPrice,1/4/2019,http://www.ebay.com/itm/rolex-116334-datejust-ii-black-roman-dial-ss-excellent-condition-w-box-/163466638390
140,2/6/2019,4350,4350,pre-owned,4233,Mechanical (Hand-winding),Solid Gold,Crocodile Skin,Rolex Cellini,StoreInventory,1/18/2019,http://www.ebay.com/itm/rolex-cellini-danaos-18k-white-gold-black-dial-unisex-watch-4233-/273662928798
0,2/7/2019,6393,6393,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,SUBMARINER,FixedPrice,1/10/2019,http://www.ebay.com/itm/mint-serviced-rolex-submariner-date-16610-steel-watch-black-tritium-dial-a9-/303025678901
3,2/7/2019,6401,6380,pre-owned,Does Not Apply,Mechanical (Automatic),"18K Solid Yellow Gold, 3.00CT Diamond Bezel & Lugs & Dial","18K Solid Yellow Gold, 3.00CT Diamonds",68278,Auction,1/31/2019,http://www.ebay.com/itm/rolex-unisex-31mm-datejust-pave-diam-ruby-dial-lugs-band-6-00ct-total-/283360661684
6,2/7/2019,4008,3995,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel & 18k Yellow Gold Diamond Bezel,18k yellow gold / Stainless Steel,69173,StoreInventory,1/28/2019,http://www.ebay.com/itm/rolex-ladys-diamond-datejust-69173-fully-loaded-/173766404888
12,2/7/2019,5200,5200,pre-owned,6916,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,3/21/2018,http://www.ebay.com/itm/ladies-rolex-air-king-34mm-stainless-steel-pink-mother-pearl-diamond-watch-/142729899198
16,2/7/2019,7000,7000,pre-owned,M50505-0020,Mechanical (Automatic),White Gold,alligator,Rolex Cellini,Auction,2/7/2019,http://www.ebay.com/itm/rolex-cellini-dual-time-white-gold-black-leather-strap-box-papers-/183674741134
18,2/7/2019,8000,8000,pre-owned,114060,Mechanical: Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,10/22/2018,http://www.ebay.com/itm/rolex-ceramic-submariner-no-date-stainless-steel-watch-114060-box-and-papers-/232976203602
20,2/7/2019,3521,3390,pre-owned,67194,Automatic,Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,StoreInventory,2/1/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-177200-31mm-box-and-papers-2017-/163519827267
21,2/7/2019,3500,3500,pre-owned,1601,Mechanical (Automatic),Stainless Steel,14K Gold and Stainless Steel,Rolex Lady-Datejust,FixedPrice,1/22/2019,http://www.ebay.com/itm/rolex-men-watch-datejust-date-oyster-gold-steel-diamond-dial-bezel-watch-/283349231072
22,2/7/2019,5000,5000,pre-owned,79170,Mechanical (Automatic),Stainless Steel,Stainless Steel,Big Block Oysterdate,StoreInventory,1/24/2019,http://www.ebay.com/itm/tudor-big-block-crono-time-auto-wind-oysterdate-m-79170-case-rolex-/132928766695
24,2/7/2019,3900,3900,pre-owned,114270,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,FixedPrice,2/7/2019,http://www.ebay.com/itm/rolex-explorer-114270-z-serial-2007-36mm-/264184443929
26,2/7/2019,4950,4950,pre-owned,Does not apply,Mechanical (Automatic),"Silver, Stainless Steel, Yellow gold","Silver, Stainless Steel, Yellow Gold",Rolex Datejust,FixedPrice,2/5/2019,http://www.ebay.com/itm/champagne-diamond-dial-bezel-rolex-dj-watch-presidential-style-fgw210138-/352586470489
29,2/7/2019,4750,4750,pre-owned,1500,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Date,StoreInventory,11/13/2018,http://www.ebay.com/itm/rolex-explorer-1-114270-black-dial-f-serial-2004-authentic-mens-watch-/292815765000
40,2/7/2019,7950,7950,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice,2/6/2019,http://www.ebay.com/itm/mens-rolex-submariner-date-18k-yellow-gold-steel-watch-blue-dial-bezel-16613-/153367148844
47,2/6/2019,6100,6100,pre-owned,14060M,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,2/3/2019,http://www.ebay.com/itm/rolex-submariner-14060m-black-dial-stainless-steel-mens-watch-2-liner-k-serial-/264178940584
51,2/6/2019,5212,5200,pre-owned,6917,Mechanical (Automatic),Gold,Solid Gold,Rolex Datejust,StoreInventory,2/6/2019,http://www.ebay.com/itm/rolex-president-datejust-26mm-18k-yellow-gold-ladies-watch-79178-/273690194050
55,2/6/2019,6275,6275,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,2/6/2019,http://www.ebay.com/itm/rolex-explorer-ii-auto-40mm-steel-mens-oyster-bracelet-watch-date-gmt-16570-/292950188414
56,2/6/2019,6215,6100,pre-owned,69173,Mechanical (Automatic),Stainless Steel & 18K Gold,Stainless Steel & 18K Gold,Datejust,StoreInventory,12/1/2018,http://www.ebay.com/itm/rolex-air-king-116900-s-s-40mm-black-green-auto-watch-stunning-b-p-/283285714610
58,2/6/2019,3945,3900,pre-owned,69623,Mechanical (Automatic),"18k Yellow Gold Bezel, Stainless Steel",18k Yellow Gold & Stainless Steel,Yacht-Master,StoreInventory,1/15/2019,http://www.ebay.com/itm/rolex-yachtmaster-ref-69623-18k-yellow-gold-stainless-steel-ladies-watch-29-mm-/153341147702
60,2/6/2019,9521,9500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction,1/30/2019,http://www.ebay.com/itm/rolex-mens-submariner-hulk-green-dial-stainless-steel-ceramic-bezel-very-nice-/283359169943
64,2/6/2019,5800,5800,pre-owned,6694,Mechanical (Hand-winding),Stainless Steel,Stainless Steel,Oysterdate,StoreInventory,11/8/2018,http://www.ebay.com/itm/rare-1986-vintage-rolex-6694-oyster-date-state-qatar-saudi-dial-watch-/163362180494
68,2/6/2019,4962,4950,pre-owned,Does Not Apply,Mechanical (Automatic),Gold,Leather,Rolex - Bubble Back,StoreInventory,2/5/2019,http://www.ebay.com/itm/very-rare-vintage-rolex-14k-yellow-gold-hooded-bubble-back-model-3065-/132942928803
70,2/6/2019,6800,6800,pre-owned,116334,Mechanical (Automatic),"18k White Gold Bezel, Stainless Steel",Stainless Steel,Datejust II,FixedPrice,1/4/2019,http://www.ebay.com/itm/rolex-116334-datejust-ii-black-roman-dial-ss-excellent-condition-w-box-/163466638390
76,2/7/2019,6393,6393,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,1/10/2019,http://www.ebay.com/itm/mint-serviced-rolex-submariner-date-16610-steel-watch-black-tritium-dial-a9-/303025678901
79,2/7/2019,6401,6380,pre-owned,Does Not Apply,Mechanical (Automatic),"18K Solid Yellow Gold, 3.00CT Diamond Bezel & Lugs & Dial","18K Solid Yellow Gold, 3.00CT Diamonds",68278,Auction,1/31/2019,http://www.ebay.com/itm/rolex-unisex-31mm-datejust-pave-diam-ruby-dial-lugs-band-6-00ct-total-/283360661684
82,2/7/2019,4008,3995,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel & 18k Yellow Gold Diamond Bezel,18k yellow gold / Stainless Steel,69173,StoreInventory,1/28/2019,http://www.ebay.com/itm/rolex-ladys-diamond-datejust-69173-fully-loaded-/173766404888
86,2/7/2019,5900,5900,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,2/7/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-datejust-mens-/173782990748
88,2/7/2019,5200,5200,pre-owned,6916,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,3/21/2018,http://www.ebay.com/itm/ladies-rolex-air-king-34mm-stainless-steel-pink-mother-pearl-diamond-watch-/142729899198
92,2/7/2019,7000,7000,pre-owned,M50505-0020,Mechanical (Automatic),White Gold,alligator,Rolex Cellini,Auction,2/7/2019,http://www.ebay.com/itm/rolex-cellini-dual-time-white-gold-black-leather-strap-box-papers-/183674741134
94,2/7/2019,8000,8000,pre-owned,114060,Mechanical: Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,10/22/2018,http://www.ebay.com/itm/rolex-ceramic-submariner-no-date-stainless-steel-watch-114060-box-and-papers-/232976203602
97,2/7/2019,3500,3500,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,14K Gold and Stainless Steel,Rolex Lady-Datejust,FixedPrice,1/22/2019,http://www.ebay.com/itm/rolex-men-watch-datejust-date-oyster-gold-steel-diamond-dial-bezel-watch-/283349231072
98,2/7/2019,5000,5000,pre-owned,79170,Mechanical (Automatic),Stainless Steel,Stainless Steel,Big Block Oysterdate,StoreInventory,1/24/2019,http://www.ebay.com/itm/tudor-big-block-crono-time-auto-wind-oysterdate-m-79170-case-rolex-/132928766695
100,2/7/2019,3900,3900,pre-owned,114270,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,FixedPrice,2/7/2019,http://www.ebay.com/itm/rolex-explorer-114270-z-serial-2007-36mm-/264184443929
102,2/7/2019,4950,4950,pre-owned,Does not apply,Mechanical (Automatic),"Silver, Stainless Steel, Yellow gold","Silver, Stainless Steel, Yellow Gold",Rolex Datejust,FixedPrice,2/5/2019,http://www.ebay.com/itm/champagne-diamond-dial-bezel-rolex-dj-watch-presidential-style-fgw210138-/352586470489
105,2/7/2019,4750,4750,pre-owned,1500,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Date,StoreInventory,11/13/2018,http://www.ebay.com/itm/rolex-explorer-1-114270-black-dial-f-serial-2004-authentic-mens-watch-/292815765000
116,2/7/2019,7950,7950,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice,2/6/2019,http://www.ebay.com/itm/mens-rolex-submariner-date-18k-yellow-gold-steel-watch-blue-dial-bezel-16613-/153367148844
123,2/6/2019,6100,6100,pre-owned,14060M,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,2/3/2019,http://www.ebay.com/itm/rolex-submariner-14060m-black-dial-stainless-steel-mens-watch-2-liner-k-serial-/264178940584
127,2/6/2019,5212,5200,pre-owned,6917,Mechanical (Automatic),"Solid Gold, Rose Gold",Solid Gold,Rolex DateJust,StoreInventory,2/6/2019,http://www.ebay.com/itm/rolex-president-datejust-26mm-18k-yellow-gold-ladies-watch-79178-/273690194050
131,2/6/2019,6275,6275,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,2/6/2019,http://www.ebay.com/itm/rolex-explorer-ii-auto-40mm-steel-mens-oyster-bracelet-watch-date-gmt-16570-/292950188414
132,2/6/2019,6215,6100,pre-owned,69173,Mechanical (Automatic),Stainless Steel & 18K Gold,Stainless Steel & 18K Gold,Datejust,StoreInventory,12/1/2018,http://www.ebay.com/itm/rolex-air-king-116900-s-s-40mm-black-green-auto-watch-stunning-b-p-/283285714610
134,2/6/2019,3945,3900,pre-owned,69623,Mechanical (Automatic),"18k Yellow Gold Bezel, Stainless Steel",18k Yellow Gold & Stainless Steel,Yacht-Master,StoreInventory,1/15/2019,http://www.ebay.com/itm/rolex-yachtmaster-ref-69623-18k-yellow-gold-stainless-steel-ladies-watch-29-mm-/153341147702
